epoch_loss--       1         tensor(0.1080, device='cuda:0')
epoch_loss--       2         tensor(0.1107, device='cuda:0')
epoch_loss--       3         tensor(0.1087, device='cuda:0')
epoch_loss--       4         tensor(0.1094, device='cuda:0')
epoch_loss--       5         tensor(0.1090, device='cuda:0')
epoch_loss--       6         tensor(0.1078, device='cuda:0')
epoch_loss--       7         tensor(0.1090, device='cuda:0')
epoch_loss--       8         tensor(0.1087, device='cuda:0')
epoch_loss--       9         tensor(0.1101, device='cuda:0')
epoch_loss--       10         tensor(0.1065, device='cuda:0')
epoch_loss--       11         tensor(0.1066, device='cuda:0')
epoch_loss--       12         tensor(0.1082, device='cuda:0')
epoch_loss--       13         tensor(0.1055, device='cuda:0')
epoch_loss--       14         tensor(0.1057, device='cuda:0')
epoch_loss--       15         tensor(0.1070, device='cuda:0')
epoch_loss--       16         tensor(0.1049, device='cuda:0')
epoch_loss--       17         tensor(0.1078, device='cuda:0')
epoch_loss--       18         tensor(0.1078, device='cuda:0')
epoch_loss--       19         tensor(0.1047, device='cuda:0')
epoch_loss--       20         tensor(0.1047, device='cuda:0')
epoch_loss--       21         tensor(0.1056, device='cuda:0')
epoch_loss--       22         tensor(0.1044, device='cuda:0')
epoch_loss--       23         tensor(0.1064, device='cuda:0')
epoch_loss--       24         tensor(0.1051, device='cuda:0')
epoch_loss--       25         tensor(0.1035, device='cuda:0')
epoch_loss--       26         tensor(0.1065, device='cuda:0')
epoch_loss--       27         tensor(0.1041, device='cuda:0')
epoch_loss--       28         tensor(0.1038, device='cuda:0')
epoch_loss--       29         tensor(0.1035, device='cuda:0')
epoch_loss--       30         tensor(0.1037, device='cuda:0')
epoch_loss--       31         tensor(0.1014, device='cuda:0')
epoch_loss--       32         tensor(0.1013, device='cuda:0')
epoch_loss--       33         tensor(0.1011, device='cuda:0')
epoch_loss--       34         tensor(0.1021, device='cuda:0')
epoch_loss--       35         tensor(0.1015, device='cuda:0')
epoch_loss--       36         tensor(0.1007, device='cuda:0')
epoch_loss--       37         tensor(0.1019, device='cuda:0')
epoch_loss--       38         tensor(0.1005, device='cuda:0')
epoch_loss--       39         tensor(0.0993, device='cuda:0')
epoch_loss--       40         tensor(0.1028, device='cuda:0')
epoch_loss--       41         tensor(0.1010, device='cuda:0')
epoch_loss--       42         tensor(0.1002, device='cuda:0')
epoch_loss--       43         tensor(0.0997, device='cuda:0')
epoch_loss--       44         tensor(0.0982, device='cuda:0')
epoch_loss--       45         tensor(0.1014, device='cuda:0')
epoch_loss--       46         tensor(0.0996, device='cuda:0')
epoch_loss--       47         tensor(0.0967, device='cuda:0')
epoch_loss--       48         tensor(0.0976, device='cuda:0')
epoch_loss--       49         tensor(0.0970, device='cuda:0')
epoch_loss--       50         tensor(0.0977, device='cuda:0')
epoch_loss--       51         tensor(0.0956, device='cuda:0')
epoch_loss--       52         tensor(0.0979, device='cuda:0')
epoch_loss--       53         tensor(0.0980, device='cuda:0')
epoch_loss--       54         tensor(0.0953, device='cuda:0')
epoch_loss--       55         tensor(0.0975, device='cuda:0')
epoch_loss--       56         tensor(0.0975, device='cuda:0')
epoch_loss--       57         tensor(0.0958, device='cuda:0')
epoch_loss--       58         tensor(0.0974, device='cuda:0')
epoch_loss--       59         tensor(0.0964, device='cuda:0')
epoch_loss--       60         tensor(0.0955, device='cuda:0')
